catalogo,texto_crudo,valor
muestra,HEMOCULTIVO MIEMBRO SUPERIOR DERECHO,16. Sangre - puncion periferica
muestra,PANEL DE SEPSIS,16. Sangre - puncion periferica
muestra,SECRECION ASPIRADO TRAQUEAL,17. Secrecion aspirado traqueal
muestra,SECRECION DE TRAQUEOSTOMIA,17. Secrecion aspirado traqueal
muestra,SECRECION OROTRAQUEAL,17. Secrecion aspirado traqueal
muestra,Traqueal,17. Secrecion aspirado traqueal
muestra,SECRECION UROTRAQUEAL,17. Secrecion aspirado traqueal
muestra,Aspirado traqueal,17. Secrecion aspirado traqueal
muestra,SEC. PIEL Y TEJIDOS BLANDOS,18. Secrecion de piel y tejidos blandos
muestra,HERIDA,18. Secrecion de piel y tejidos blandos
muestra,Ulcera,18. Secrecion de piel y tejidos blandos
muestra,SECRECION TEJIDO,18. Secrecion de piel y tejidos blandos
muestra,SECRECION ULCERA,18. Secrecion de piel y tejidos blandos
muestra,Fistula,18. Secrecion de piel y tejidos blandos
muestra,HERIDA DE PIEL Y TEJIDO BLANDO,18. Secrecion de piel y tejidos blandos
muestra,Secreciones PIE IZQUIERDO,18. Secrecion de piel y tejidos blandos
muestra,SECRECION MANO IZQUIERDA,18. Secrecion de piel y tejidos blandos
muestra,Cultivo de ulcera en miembro,18. Secrecion de piel y tejidos blandos
muestra,SECRECION PIE IZQUIERDO,18. Secrecion de piel y tejidos blandos
muestra,SEC HERIDA QUIRURGICA,19. Secrecion herida quirurgica
muestra,HERIDA QUIRURGICA,19. Secrecion herida quirurgica
muestra,Herida quirugica,19. Secrecion herida quirurgica
muestra,SEGMENTO DE TEJIDO,21. Segmento tejido
muestra,Cadera,21. Segmento tejido
muestra,Tejido,21. Segmento tejido
muestra,Hueso,21. Segmento tejido
muestra,Tejido MUSLO DERECHO,21. Segmento tejido
muestra,HUESO DE TIBIA DERECHA,21. Segmento tejido
muestra,CULTIVO DE TENDON PERONE IZQUI,21. Segmento tejido
muestra,Hueso MIEMBRO SUPERIOR DERECHO,21. Segmento tejido
muestra,CULTIVO DE MUSLO DERECHO,21. Segmento tejido
muestra,HUESO SACRO,21. Segmento tejido
muestra,LIQUIDO SINOVIAL,22. Liquido sinovial
muestra,LIQUIDO SINOVIAL O ARTICULAR,22. Liquido sinovial
muestra,LIQUIDO PERICARDICO,23. Liquido pericardio
muestra,Esputo,24. Esputo
muestra,Ojo,25. Secrecion ocular
muestra,SECRECION OCULAR,25. Secrecion ocular
muestra,HISOPADO RECTAL,26. Hisopado rectal
muestra,HISOPADO NASAL,27. Hisopado nasal
muestra,ASPIRADO NASOFARINGEO,27. Hisopado nasal
muestra,SECRECION NASAL,27. Hisopado nasal
muestra,HISOPADO RECTO-VAGINAL,28. Hisopado rectovaginal
muestra,Vagina,28. Hisopado rectovaginal
muestra,HEMOCULTIVO PUNCIÓN ARTERIAL,29. Hemocultivo puncion arterial
muestra,ASPIRADO MEDULA OSEA,30. Aspirado medula osea
muestra,BIOPSIA,31. Biopsia
muestra,SECRECION URETRAL MASCULINA,32. Otros
muestra,SECRECION VAGINAL,32. Otros
muestra,SECRECION,32. Otros
muestra,Secreciones,32. Otros
muestra,Uretra,32. Otros
muestra,Abdomen,32. Otros
muestra,Pie,32. Otros
muestra,Mano,32. Otros
muestra,SEMEN,32. Otros
muestra,SECRECION URETRAL,32. Otros
muestra,Sin especificar,99. No Aplica
muestra,`Sin especificar,99. No Aplica
servicio,UCI CARDIOVASCULAR,UCI Cardiovascular
servicio,MEDICA HOMBRES PISO 2 CENTRO,Médica Hombres
servicio,MEDICA MUJERES PISO2 CENTRO,Médica Mujeres
servicio,CARTAGO OBSERVACION HOMBRES,Observacion Hombres CARTAGO
servicio,SALA HUMANA,Sala Humana
servicio,CARTAGO OBSERVACION MUJERES,Observacion Mujeres CARTAGO
servicio,ISO CARTAGO,ISO CARTAGO
servicio,Dialisis,Diálisis
servicio,Expansion domiciliaria,Expansión Domiciliaria
servicio,CARTAGO QUIROFA 02,Quirófano 2 CARTAGO
servicio,Radiologia intervencionista,Radiología Intervencionista
servicio,PICC consulta Externa,PICC Consulta Externa
servicio,CARTAGO UCIN ADULTO,UCIN Adulto CARTAGO
servicio,Unidad de Quemados (UCI),Unidad de Quemados
servicio,Hemodinamia,Hemodinamia
servicio,UCEP UNID CUIDADO ESPECIAL PED,UCEP (Unidad Cuidado Especial Pediátrico)
servicio,Sala de Recién Nacidos UCIM,Sala de Recién Nacidos UCIM
